time,id,location,accuracy,scale,algo,association_status
2017-03-01 00:00:01,51057cbe9061ea94f4d577400698eb10b30b9735,1010500016,92.0833,5,4,t
2017-03-01 00:00:01,4abca0ba8efb1414fc3687bdb444adf7f2e35027,1010400003,79,5,4,t
2017-03-01 00:00:01,1015849f881a0b770447f9fb4cbbc2a22f82c2fb,1010200018,79.875,5,4,t
2017-03-01 00:00:01,308983099e46fda22d2621a31135daf5f82a1cdd,1010400022,98.4068,5,4,t
2017-03-01 00:00:01,4005082c9fa39d3b882b4899a6a5ae2d9aff382c,1010400003,97.4054,5,4,t
2017-03-01 00:00:01,a8068953a20aee36575f8d47705adfb680c62d89,1010400050,89.8889,5,4,t
2017-03-01 00:00:01,0d9ea63c278bffdfbcbf13be318c6fe97a52bde4,1010500017,98.2195,5,4,f
2017-03-01 00:00:01,a173cf5c1f8fef16d40a3b902b2dd799e592c974,1010400068,98.3333,5,4,t
2017-03-01 00:00:01,6a17502cb9106b1d4a9de1cbf81515a6b6a9f1b8,1010110027,99.1944,5,4,t
